solar da,solar ac
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.944623148,1.641963756
6.276161552,4.092481347
12.14512194,14.50718111
20.37906575,20.3666377
33.01326772,30.78864808
39.67908496,62.92975963
28.77384304,48.33338903
14.84420039,11.60486762
2.127388482,2.659601133
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01096592,0.008041675
16.67331584,18.05648389
45.84412519,64.50958317
65.54915239,107.8615203
83.78986373,109.1138283
88.24641362,89.77433181
76.90034172,57.05275756
56.61777607,35.19256156
30.79742082,17.83716549
4.516496921,3.709405208
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.020469717,0
9.57397923,6.602945968
28.9485667,23.76899715
43.18013769,63.97444627
52.01940028,62.99116878
52.1078587,63.26458572
48.42915807,55.57893791
37.82657554,45.12695402
20.51211891,20.11953897
3.492279992,3.717446883
0,0.000731061
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.02193184,0
3.771545422,7.432700582
10.58869236,21.8982112
16.04094779,38.07001897
19.03976138,44.03913476
18.34525311,40.89557102
14.71260935,28.94125609
9.892721971,17.87591174
4.906152612,5.221240047
1.144842049,0.220780523
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.02193184,0
3.251760813,0.351640502
9.175550802,1.733346423
14.34196125,3.328522254
16.70328936,5.179569551
15.7287846,4.294985337
14.22133613,3.246643384
10.94398817,2.380335703
5.730058736,1.573975052
1.253770188,0.286576043
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.075299317,0
5.090380068,0.848031147
13.74760839,2.437358487
20.23285348,4.036920686
25.19675994,4.971948132
26.139098,5.142285423
22.80618937,4.771637327
16.97597524,3.69917035
9.21795236,1.606872812
1.903683714,0.464955008
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.171068352,0.022662901
13.04359632,3.186696355
29.17592678,12.41926994
42.21586779,22.53204137
54.71116811,31.87792947
59.21377487,40.78152545
54.30616013,42.75100469
45.78856453,34.7115232
28.60789212,19.29197754
6.883673521,3.37604124
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.298273024,0.074568256
15.9707659,6.520336038
37.84485207,17.38610064
53.27901896,34.09085213
58.86578967,43.19402786
62.26814912,52.69490095
60.57866638,50.29263341
52.16561255,33.94975729
34.85188697,16.77274018
